date	nil	count
2014-03-02 03:00:00	AFFORI	4.0
2014-03-02 04:00:00	AFFORI	4.4
2014-03-02 05:00:00	AFFORI	3.466666666666667
2014-03-02 06:00:00	AFFORI	4.0
2014-03-02 07:00:00	AFFORI	4.0
2014-03-02 08:00:00	AFFORI	4.0
2014-03-02 09:00:00	AFFORI	4.0
2014-03-02 10:00:00	AFFORI	4.0
2014-03-02 11:00:00	AFFORI	5.3
2014-03-02 12:00:00	AFFORI	4.9
2014-03-02 13:00:00	AFFORI	5.0
2014-03-02 14:00:00	AFFORI	4.766666666666667
2014-03-02 15:00:00	AFFORI	3.1666666666666665
2014-03-02 16:00:00	AFFORI	2.466666666666667
2014-03-02 17:00:00	AFFORI	2.0
2014-03-02 18:00:00	AFFORI	1.8
2014-03-02 19:00:00	AFFORI	2.466666666666667
2014-03-02 20:00:00	AFFORI	3.0
2014-03-02 21:00:00	AFFORI	3.1666666666666665
2014-03-02 22:00:00	AFFORI	3.8666666666666667
2014-03-02 23:00:00	AFFORI	3.8666666666666667
2014-02-24 00:00:00	BAGGIO	10.5
2014-02-24 01:00:00	BAGGIO	11.8
2014-02-24 02:00:00	BAGGIO	12.0
2014-02-24 03:00:00	BAGGIO	12.0
2014-02-24 04:00:00	BAGGIO	12.0
2014-02-24 05:00:00	BAGGIO	12.0
2014-02-24 06:00:00	BAGGIO	12.0
2014-02-24 07:00:00	BAGGIO	10.533333333333333
2014-02-24 08:00:00	BAGGIO	9.933333333333334
2014-02-24 09:00:00	BAGGIO	9.866666666666667
2014-02-24 10:00:00	BAGGIO	9.766666666666667
2014-02-24 11:00:00	BAGGIO	10.0
2014-02-24 12:00:00	BAGGIO	10.0
2014-02-24 13:00:00	BAGGIO	10.0
2014-02-24 14:00:00	BAGGIO	9.1
2014-02-24 15:00:00	BAGGIO	9.0
2014-02-24 16:00:00	BAGGIO	9.266666666666667
2014-02-24 17:00:00	BAGGIO	11.233333333333333
2014-02-24 18:00:00	BAGGIO	10.433333333333334
2014-02-24 19:00:00	BAGGIO	11.066666666666666
2014-02-24 20:00:00	BAGGIO	11.533333333333333
2014-02-24 21:00:00	BAGGIO	11.966666666666667
2014-02-24 22:00:00	BAGGIO	7.033333333333333
2014-02-24 23:00:00	BAGGIO	11.733333333333333
2014-02-25 00:00:00	BAGGIO	15.733333333333333
2014-02-25 01:00:00	BAGGIO	16.0
2014-02-25 02:00:00	BAGGIO	15.466666666666667
2014-02-25 03:00:00	BAGGIO	15.9
2014-02-25 04:00:00	BAGGIO	15.0
2014-02-25 05:00:00	BAGGIO	13.6
2014-02-25 06:00:00	BAGGIO	14.0
2014-02-25 07:00:00	BAGGIO	13.1
2014-02-25 08:00:00	BAGGIO	13.466666666666667
2014-02-25 09:00:00	BAGGIO	14.0
2014-02-25 10:00:00	BAGGIO	13.566666666666666
2014-02-25 11:00:00	BAGGIO	13.366666666666667
2014-02-25 12:00:00	BAGGIO	13.2
2014-02-25 13:00:00	BAGGIO	12.466666666666667
2014-02-25 14:00:00	BAGGIO	11.3
2014-02-25 15:00:00	BAGGIO	11.533333333333333
2014-02-25 16:00:00	BAGGIO	11.533333333333333
2014-02-25 17:00:00	BAGGIO	13.6
2014-02-25 18:00:00	BAGGIO	13.066666666666666
2014-02-25 19:00:00	BAGGIO	13.9
2014-02-25 20:00:00	BAGGIO	14.0
2014-02-25 21:00:00	BAGGIO	14.0
2014-02-25 22:00:00	BAGGIO	14.0
2014-02-25 23:00:00	BAGGIO	15.566666666666666
2014-02-26 00:00:00	BAGGIO	16.733333333333334
2014-02-26 01:00:00	BAGGIO	17.4
2014-02-26 02:00:00	BAGGIO	18.6
2014-02-26 03:00:00	BAGGIO	19.333333333333332
2014-02-26 04:00:00	BAGGIO	19.0
2014-02-26 05:00:00	BAGGIO	19.0
2014-02-26 06:00:00	BAGGIO	19.0
2014-02-26 07:00:00	BAGGIO	17.833333333333332
2014-02-26 08:00:00	BAGGIO	16.7
2014-02-26 09:00:00	BAGGIO	16.9
2014-02-26 10:00:00	BAGGIO	16.833333333333332
2014-02-26 11:00:00	BAGGIO	17.0
2014-02-26 12:00:00	BAGGIO	16.233333333333334
2014-02-26 13:00:00	BAGGIO	15.166666666666666
2014-02-26 14:00:00	BAGGIO	14.8
2014-02-26 15:00:00	BAGGIO	14.966666666666667
2014-02-26 16:00:00	BAGGIO	14.1
2014-02-26 17:00:00	BAGGIO	14.0
2014-02-26 18:00:00	BAGGIO	13.533333333333333
2014-02-26 19:00:00	BAGGIO	13.833333333333334
2014-02-26 20:00:00	BAGGIO	15.366666666666667
2014-02-26 21:00:00	BAGGIO	17.966666666666665
2014-02-26 22:00:00	BAGGIO	19.333333333333332
2014-02-26 23:00:00	BAGGIO	18.2
2014-02-27 00:00:00	BAGGIO	17.966666666666665
2014-02-27 01:00:00	BAGGIO	18.5
2014-02-27 02:00:00	BAGGIO	18.933333333333334
2014-02-27 03:00:00	BAGGIO	19.0
2014-02-27 04:00:00	BAGGIO	18.466666666666665
2014-02-27 05:00:00	BAGGIO	17.633333333333333
2014-02-27 06:00:00	BAGGIO	17.0
2014-02-27 07:00:00	BAGGIO	16.5
2014-02-27 08:00:00	BAGGIO	14.833333333333334
2014-02-27 09:00:00	BAGGIO	15.166666666666666
2014-02-27 10:00:00	BAGGIO	15.833333333333334
2014-02-27 11:00:00	BAGGIO	16.0
2014-02-27 12:00:00	BAGGIO	15.666666666666666
2014-02-27 13:00:00	BAGGIO	14.9
2014-02-27 14:00:00	BAGGIO	10.4
2014-02-27 15:00:00	BAGGIO	12.8
2014-02-27 16:00:00	BAGGIO	12.733333333333333
2014-02-27 17:00:00	BAGGIO	13.1
2014-02-27 18:00:00	BAGGIO	14.533333333333333
2014-02-27 19:00:00	BAGGIO	14.233333333333333
2014-02-27 20:00:00	BAGGIO	15.1
2014-02-27 21:00:00	BAGGIO	16.333333333333332
2014-02-27 22:00:00	BAGGIO	15.366666666666667
2014-02-27 23:00:00	BAGGIO	18.4
2014-02-28 00:00:00	BAGGIO	18.1
2014-02-28 01:00:00	BAGGIO	17.466666666666665
2014-02-28 02:00:00	BAGGIO	19.0
2014-02-28 03:00:00	BAGGIO	18.966666666666665
2014-02-28 04:00:00	BAGGIO	17.2
2014-02-28 05:00:00	BAGGIO	17.0
2014-02-28 06:00:00	BAGGIO	17.0
2014-02-28 07:00:00	BAGGIO	17.0
2014-02-28 08:00:00	BAGGIO	15.833333333333334
2014-02-28 09:00:00	BAGGIO	15.933333333333334
2014-02-28 10:00:00	BAGGIO	14.166666666666666
2014-02-28 11:00:00	BAGGIO	13.866666666666667
2014-02-28 12:00:00	BAGGIO	16.0
